open,high,low,close,volume,RSI,EMA12,EMA26,MACD,Signal,Histogram,DEMA9,SMA,TSI,%K,%D,Label
105972.49,106200.0,105870.37,105960.73,141.14064,40.08051146542428,106219.58463212923,106403.32543086242,-183.7407987331826,-118.55796503620661,-65.18283369697599,105935.8085437053,105864.39666666667,-24.688511735947642,15.482890059531485,12.035767838036032,1
105960.73,106034.01,105911.0,105955.18,84.07866,39.98306487898479,106178.90699641705,106370.12947302074,-191.22247660369612,-133.09086734970452,-58.1316092539916,105908.43425041731,105962.79999999999,-24.401576708012787,21.80457407169455,16.75640529341833,1
105955.19,106280.0,105831.5,106248.0,128.30317,47.2676222274347,106189.53668927596,106361.08284538958,-171.54615611361805,-140.78192510248724,-30.764231011130818,105998.19973269632,106054.63666666666,-21.696028346171875,27.70439847530913,21.66395420217839,0
106248.0,106260.0,106058.01,106208.73,82.84504,46.45331016550584,106192.48950631043,106349.7974494348,-157.30794312436774,-144.08712870686335,-13.220814417504386,106051.50445204703,106137.30333333334,-19.83012761153097,33.015118420488776,27.50803032249749,1
106208.73,106208.73,106092.0,106154.44,56.54402,45.291624491570246,106186.63573610883,106335.32652725445,-148.69079114562192,-145.0078611946151,-3.6829299510068267,106072.36409434958,106203.72333333334,-18.661740948470875,37.2821105828942,32.66720915956404,1
106154.45,106179.98,105962.33,106082.56,76.04469,43.73226291841498,106170.62408439978,106316.60308079116,-145.97899639137904,-145.20208823396788,-0.7769081574111567,106063.12050164923,106148.57666666666,-18.129534338733702,33.739346438819474,34.678858480734156,2
106082.55,106230.76,105909.42,106131.98,83.817,45.13099762100949,106164.67884064597,106302.92729702884,-138.2484563828766,-143.81136186374965,5.562905480873042,106075.77338225504,106122.99333333333,-17.297964051499378,32.09580710094634,34.37242137422001,1
106131.98,106286.03,106124.3,106207.26,71.41766,47.28083674290427,106171.2297882389,106295.84083058227,-124.61104234337108,-139.97129795967396,15.36025561630288,106113.22029055255,106140.59999999999,-16.002351471471403,33.22690479249613,33.020686110753985,1
106207.26,106284.44,106081.59,106241.97,52.76942,48.28693151550634,106182.1128977406,106291.85039868728,-109.73750094667776,-133.92453855707473,24.18703761039697,106153.44350024086,106193.73666666665,-14.649877357384296,36.64054135080704,33.98775108141651,1
106241.97,106287.95,106143.02,106253.79,71.69413,48.64634082702001,106193.14014424205,106289.03110989564,-95.89096565359796,-126.31782397637937,30.426858322781413,106186.98261443173,106234.34000000001,-13.426018730881415,45.24545933321866,38.37096849217395,0
106253.8,106269.6,106131.92,106140.15,52.57306,45.3807685888892,106184.98781435865,106278.00287953301,-93.01506517436064,-119.65727221597564,26.642207041614995,106170.20954293665,106211.96999999999,-13.147532059631015,58.662261181008574,46.8494206216781,1
106140.14,106143.72,105815.0,105849.12,162.44972,38.29148232289256,106133.31584291886,106246.23377734539,-112.91793442652852,-118.30940465808622,5.3914702315577046,106053.50159546231,106081.02,-14.844812640343255,56.73814787232727,53.54862279551818,1
105849.12,105927.53,105811.32,105869.86,71.17127,39.02254670425913,106092.7841747775,106218.35423828277,-125.57006350527809,-119.7615364275246,-5.808527077753482,105978.09964526024,105953.04333333333,-16.038796258741524,48.383551675517914,54.59465357628459,1
105869.86,105898.12,105699.22,105749.68,126.51388,36.33622254173166,106039.99891711942,106183.6376280396,-143.63871092018962,-124.53697132605761,-19.101739594132013,105882.24801132052,105822.88666666666,-17.808147747837317,25.320642034995135,43.48078052761344,1
105749.68,105749.68,105462.39,105657.5,265.88861,34.38119464042772,105981.15292987028,106144.66447040703,-163.51154053675418,-132.33188516819692,-31.179655368557263,105782.41544514628,105759.01333333332,-19.858281298372198,21.876248545696782,31.860147418736616,1
105657.5,105804.0,105594.33,105740.6,107.64724,37.6386444534918,105944.14478681331,106114.73376889541,-170.58898208210303,-139.98330455097815,-30.605677531124883,105743.4419849889,105715.92666666668,-20.725303719470165,21.9680653080021,23.054985296231347,1
105740.6,105764.0,105400.0,105459.93,209.31873,31.88194140702558,105869.65020422664,106066.22978601427,-196.5795817876351,-151.30255999830953,-45.27702178932557,105617.34409108861,105619.34333333334,-23.237844892097247,21.36081934251283,21.735044398737244,1
105459.93,105613.34,105387.68,105398.53,71.90509,30.773103139375962,105797.17017280715,106016.77054260581,-219.6003697986598,-164.9621219583796,-54.6382478402802,105508.2408753489,105533.02,-25.63186542801731,13.88466576452049,19.071183471678477,2
105398.52,105546.91,105250.85,105452.84,206.29883,32.993034330419874,105744.19630006759,105974.9979098202,-230.80160975261242,-178.13001951722617,-52.67159023538625,105453.57798226153,105437.09999999999,-26.99731656269217,9.143624180811093,14.796369762614809,1
105452.84,105635.32,105452.83,105629.36,64.442,39.75516092159031,105726.52917698027,105949.39510168537,-222.8659247050964,-187.07720055480024,-35.78872415029616,105482.11141139515,105493.57666666666,-26.222340549232964,19.059527109137004,14.029272351489533,1
105629.52,105764.7,105629.52,105746.57,68.50347,43.810036436856805,105729.61238052176,105934.37102007905,-204.7586395572871,-190.61348835529762,-14.145151201989478,105548.45834958485,105609.59000000001,-24.355471169785762,34.590685565519095,20.931278951822403,1
105746.56,105995.44,105746.56,105920.01,92.34245,49.25302157093565,105758.90432197995,105933.30724081394,-174.40291883399186,-187.37137445103647,12.968455617044611,105661.28325604288,105765.31333333334,-21.04828522050167,49.605952495741256,34.41872172346579,1
105920.01,105920.01,105749.68,105885.38,50.13291,48.248067461445686,105778.36211859841,105929.75707482772,-151.3949562293128,-180.17609080669175,28.781134577378936,105731.3734659343,105850.65333333334,-18.636564810613876,57.834667180921286,47.34376841406055,1
105885.38,106100.0,105866.34,105984.91,92.05917,51.32225261073627,105810.1387157371,105933.84247669234,-123.70376095523534,-168.88162483640048,45.17786388116514,105818.22226162742,105930.10000000002,-15.676796477728805,65.92010050047126,57.786906725711276,0
105984.91,105984.91,105830.5,105851.93,49.77274,47.28107619825925,105816.56814408525,105927.77488582623,-111.20674174098531,-157.34664821731747,46.13990647633216,105832.60020040593,105907.40666666666,-14.265105417926675,66.8526888857453,63.53581885571262,1
105851.92,105851.93,105744.81,105784.13,39.97117,45.32161994148192,105811.57766037983,105917.13452391318,-105.5568635333475,-146.98869128052348,41.43182774717599,105818.16727320795,105873.65666666666,-13.636237884826441,67.39219502395139,66.72166147005599,1
105784.12,105916.64,105729.16,105830.3,59.20519,46.93440366749303,105814.4580203214,105910.70233695665,-96.24431663524592,-136.839816351468,40.595499716222065,105824.18990887293,105822.12,-12.658341019498165,66.12014760301922,66.78834383757197,1
105830.3,105871.02,105706.69,105721.22,43.44748,43.65802200452304,105800.11370950272,105896.66660829319,-96.55289879046904,-128.7824328392682,32.22953404879917,105789.01999934358,105778.55,-12.7206254623858,62.14449743861517,65.2189466885286,1
